"title","external_video_id","video_shortened_id"
"Donald Trump Phoenix, Arizona July 11, 2015 Full Speech - Donald J. Trump for President","sPED92gRpsY",39
"Trump International Realty: Trump Park Avenue Penthouse 24","vOXD_RBV9rM",40
"Second-Class Citizens","Xdu8gXI4Wbk",42
"Book Signing Tonight and Thursday","cE_Evcqxn04",43
"Rubio On Repeat","ze1CSU9A2mI",44
"Bernie Sanders: Three Pinocchios","I3btY7YViqo",45
"Hillary Clinton: Ready for the Presidency","ZVrde6OZz9A",46
"Work Hard | Hillary Clinton","pMcSWonOBZs",47
"Vote March 8 | Hillary Clinton","p3Jvz2IVxk0",48
"The Republican Nominee","mWlQf4dcFeA",49
"Search | Hillary Clinton","JsX1_OqitrY",50
"Strong For Women","nrCVGRMi3Iw",51
"What They Would Do","DMfPxF_VFto",52
"Hillary's Campaign Kick-off Trip to Iowa in 100 Seconds | Hillary Clinton","3Nc8OxgF1lI",53
"Life Changing Experience","FpkDL3G7AoY",54
"Vote Saturday | Hillary Clinton","kOZCLUMNxts",57
"Get Out to Vote - Arizona","Er8mxM5qFd4",58
"Who Are The Republicans Really Fighting For?","672qKxxSP1A",59
"Donald Trump Lying the entirety of Mozart's Symphony No. 40","R_a5DnPXBi8",60
"Dorothy","kNLwH8AEa7Q",61
"How Does it Feel to be a Female Candidate? | Big Question, Little Supporter | Hillary Clinton","NPhAdg5wNr0",62
"ivankarcut129","KUwvKBS8bZk",63
"GOP Debate Four In Review","Dl4rUHF5dOE",64
"You Must Register Republican - California","YFeCGq6kPO4",65
"A conversation about mental health services | Hillary Clinton","6eLyTMby-c4",66
"Caucus Saturday | Hillary Clinton","kHkId3SyMIo",67
"From The Desk Of Donald Trump: Mac Miller","yx1mUxI9w5A",69
"Inequality | Hillary Clinton","_LFVoPfSbbI",70
"Love and Kindness | Hillary Clinton","hFA7SlNREYU",71
"BERNOBAMA","nlxPt-CvD9E",72
"Stand for Reality","_ZwguLJVxsM",73
"Imagine a tomorrow | Hillary Clinton","DnEfPDOifc0",74
"Hillary Clinton at the 2015 U.S. Conference of Mayors","AW1sC9WDx_k",75
"Children | Hillary Clinton","RCdbQqpqgiI",76
"From The Desk Of Donald Trump 3/8/11","JEV0qzUTGhY",77
"| Hillary Clinton","aD3J_Pw-f5k",78
"Bernie Sanders, Dick Cheney, and the Gun Industry","28c0RJo8k2E",79
"Trump Place: Penthouse 4A","DfADS6fhOeQ",80
"The GOP's True Colors","9OF2ZoTFaQ4",81
"Brave | Hillary Clinton","axN-hs4slpY",82
"Brave | Hillary Clinton","8v25C4tdr-k",83
"Real Progress Now NV | Hillary Clinton","Vu_X4yHPGzw",84
"Defend | Hillary Clinton","42W0TMDj2eE",85
"Girl's Night Out | Hillary Clinton","-uxbPy1yvsA",86
"Caucus March 6 | Hillary Clinton","fGMtCwsQyqE",87
"Do you see yourself or your mother in your daughter? | Quick Question | Hillary Clinton","tX8pm0L26Cc",89
"Portraits - Priorities USA Action","HY1l9OOxtqo",90
"The Eric Trump Foundation Mission Statement (2016)","wfQb3NL8SfI",91
"Week One | Hillary Clinton","SaTSW4MxnFA",92
"The GOP's At It Again","9x0T9ZwSsOw",93
"The GOP on a Pathway to Citizenship... They're All the Same.","v96Qz-SdIck",94
"Part 6 | The History of ""Women's Rights Are Human Rights"" | Hillary Clinton","EMcQ7F7S_zA",95
"From The Desk Of Donald Trump 7/11/11","sL4fYq9w-mA",97
"Lunar New Year | Hillary Clinton","koAnNagL3DY",98
"The Celebrity Apprentice Video Blog Week 6","S27QATtln38",99
"Breaking Barriers | Hillary Clinton","9HPvKGx7fGU",100
"Education","P1CqvyewyC4",101
"This Is Not A Laughing Matter, Bernie.","EhgQB4rN3ag",102
"This City Means Something | Hillary Clinton","Ri0VUy5TAyk",103
"Extremely Dangerous","vtTGafwYzI8",104
"Get Out To Vote - Rhode Island","sODmdvBG16Y",105
"Shamed | Hillary Clinton","BItSOMeGppc",106
"From The Desk Of Donald Trump: Libya","duyvYNh-fLw",107
"Donald Trump's ""Respect"" for Women","9b7vv08UQlQ",108
"Incredible | Hillary Clinton","CDFhwWy0a2E",109
"Behind the scenes in Beijing","pk1GPp9JOiQ",110
"Trump's Ceiling","Wb10WsNn8W0",111
"Potential SC | Hillary Clinton","xFg76PtBsXc",112
"Hillary Clinton's Remarks at the Jefferson Jackson Dinner | Hillary Clinton","s_HIEIiv8Ao",113
"From The Desk Of Donald Trump: Trump Chopper","gycxhHp0QAU",114
"Ivanka Trump's Update December 2012","5soTn8yp7-0",116
"FNC 05 18 2016 07 17 23","u4p90xqFsmo",117
"Bernie Sanders Offers Very Few Specifics","pvvmH8cLhqo",118
"Bam | Hillary Clinton","La0GJYioWV8",120
"The Celebrity Apprentice Video Blog Week 8","L05vt0ZkVgk",121
"The World | Hillary Clinton","Y8FPmXtzpBk",122
"Maria Hamilton speaks | Hillary Clinton","KLYySyrQNt0",124
"How to Caucus Iowa - Updated - Donald J. Trump for President","5m6ijNETbsA",125
"From The Desk Of Donald Trump: Joe Paterno & Political Analysts","CkjcFu7Shws",126
"Get Out To Vote - Oregon","-Ov4qcu-3bw",127
"Donald Trump ""Respects"" Women...","k6vMGqX58Ww",128
"Viewer Discretion Advised: The Trump Effect","vdemmspYCIs",129
"Get Out To Vote - Pennsylvania","kdXzb0oPn3Q",130
"Al Franken | Hillary Clinton","xUoX4_dP6ns",131
"300 | Hillary Clinton","s9xbPOTMGvA",132
"Risk and Reward With Deidre Bolton Interview with Eric Beach, Co-Chair of Gream America PAC","0oNHsQQvBhU",133
"Reverse | Hillary Clinton","T9c8DtYTCc8",134
"Inequality | Hillary Clinton","g9VW4QJc5os",135
"James Carville on superPACs in 2012","zewRx3JD8Uo",136
"GOP: Wrong For Us","PSI69gt8Wzs",137
"I'm With Him | Hillary Clinton","QPslyvd-QF0",138
"Mi Hija","nFh3Bpzke2g",139
"Fighting for children's rights in South Carolina in the 1970s | Hillary Clinton","Asn_w7lue9w",140
"The GOP: ""I Don't Know""","uc2ntnwlkJ8",141
"Hillary Speaks About her Mom's Influence on her Campaign | Interview | Hillary Clinton","JqXgYgusRMA",142
"FBN 05 19 2016 19 28 08","6q4Nmcq7Grk",143
"Hillary shares a special moment with a (new!) supporter and his mother | Hillary Clinton","yR35F79kABk",144
"Hillary Clinton GOTC | Hillary Clinton","1DaYJE5TTfk",145
"Donald Trump: A Message to the Faith and Freedom Coalition","lCDfDU2wyJM",146
"Bernie Sanders On Gun Violence: Sounds Just Like a Republican","TCdxJkgdC60",147
"President Bill Clinton on why Hillary is the greatest changemaker he's ever known | Hillary Clinton","kvOusLAWn9E",148
"Real Life | Hillary Clinton","DJ0SQywNeeQ",149
"Una de mis héroes | Hillary Clinton","-p0l3PGPTR0",150
"Why Hillary Fights for New Hampshire | Hillary Clinton","hoMeS_uYfhw",151
"Strong For Families","ZKkkuMBrnxc",152
"Makers | Hillary Clinton","14Zszju3rCo",153
"Breaking Barriers | Hillary Clinton","qaXWAxxjDLw",154
"Bam | Hillary Clinton","KCQRCGKo7Hk",155
"Came Through | Hillary Clinton","KgShA36gE-4",157
"Johnson Controls | Hillary Clinton","OBOQOYCbkfo",158
"For Us | Hillary Clinton","8rMFxwCGaWQ",159
"The GOP on Equal Pay... They're All the Same.","XJHvjH0c_AA",160
"Ivanka Trump - Find Your Iowa Caucus Location","_Otk1FRbNR8",161
"Hillary Clinton On Gun Violence Prevention | Hillary Clinton","cgCU2g1-JeA",163
"Brave | Hillary Clinton","VQ4-B1qtaNg",164
"GOP Tax Plans","3Sbk-j7WW2c",165
"Global | Hillary Clinton","A9X_EVmPe1g",166
"""We need you"" says President Bill Clinton to volunteers | Hillary Clinton","G-q1ghhobcw",167
"Ed Rollins on Trump Campaign Funds","qvQUvpNKDVw",168
"Raising Incomes: The Defining Economic Challenge of Our Time | Hillary Clinton","-S6fMCEv-sI",169
"Inequality | Hillary Clinton","OmFTsxCQdRM",170
"From The Desk Of Donald Trump: The Economy","OEGKdPtB6m8",171
"From The Desk Of Donald Trump: Jon Stewart","5e6n_3Fj7qk",172
"Inequality | Hillary Clinton","HsPvBD4NNME",173
"Lifetime | Hillary Clinton","goNfE6GlCtQ",174
"Donald Trump: The Art of the Sell","W8x-ITevVJY",175
"I Will Work For You","ReFReMfBWAY",176
"Our community | Hillary Clinton","UlIxi9sEujs",177
"What's At Stake in 2016? Progress.","qtvOeyh_LVE",178
"Vote Saturday | Hillary Clinton","fLATchowIEI",179
"Fortitude | Hillary Clinton","qLEem4fEvdM",180
"Trump's Secret Plan","OcXjQwBjUP4",181
"The Bromance Is Over","q6mz96Bdloc",182
"Broken Education System","n3DgJsgVFRo",183
"Bernie Sanders: ""I am talking"" #DemDebate","MNIAN5t7XSc",184
"Her Fight | Hillary Clinton","1PCKRFEwcI8",185
"GOP ""Values""","MfPLDEgVhr8",187
