views,uploader,county_code
277,1,1001
294,,1001
1680,1,1003
2213,,1003
58,1,1005
91,,1005
22,1,1007
35,,1007
135,1,1009
236,,1009
26,,1011
7,1,1011
35,1,1013
78,,1013
658,1,1015
873,,1015
215,,1017
126,1,1017
159,,1019
120,1,1019
138,,1021
105,1,1021
42,1,1023
64,,1023
21,1,1025
30,,1025
2,,1027
5,,1029
9,1,1029
639,,1031
298,1,1031
282,,1033
103,1,1033
32,1,1035
10,,1035
4,,1037
111,1,1039
131,,1039
12,1,1041
30,,1041
289,1,1043
401,,1043
320,1,1045
600,,1045
37,,1047
62,1,1047
474,,1049
297,1,1049
304,1,1051
597,,1051
116,1,1053
279,,1053
394,1,1055
420,,1055
26,1,1057
55,,1057
26,1,1059
32,,1059
38,,1061
23,1,1061
5,1,1063
28,,1065
17,1,1065
2,1,1067
8,,1067
1435,,1069
909,1,1069
104,1,1071
243,,1071
7513,1,1073
8994,,1073
12,,1075
10,1,1075
345,1,1077
562,,1077
39,1,1079
40,,1079
1337,1,1081
2373,,1081
395,1,1083
574,,1083
2,,1085
67,1,1087
61,,1087
3784,1,1089
4713,,1089
30,1,1091
54,,1091
247,1,1093
240,,1093
596,1,1095
967,,1095
2073,1,1097
2409,,1097
42,1,1099
60,,1099
1825,1,1101
1876,,1101
652,1,1103
1044,,1103
11,1,1105
23,,1105
8,1,1107
39,,1107
142,1,1109
246,,1109
14,1,1111
33,,1111
237,1,1113
334,,1113
476,,1115
399,1,1115
1121,1,1117
1467,,1117
25,1,1119
14,,1119
240,1,1121
367,,1121
131,1,1123
203,,1123
1373,1,1125
1924,,1125
198,1,1127
345,,1127
13,1,1129
17,,1129
4,1,1131
180,,1133
165,1,1133
1,1,2016
6,,2016
4995,,2020
4312,1,2020
28,1,2050
44,,2050
848,,2090
676,1,2090
15,1,2100
12,,2100
862,1,2110
600,,2110
314,1,2122
258,,2122
103,1,2130
149,,2130
84,1,2150
79,,2150
1123,1,2170
1297,,2170
11,1,2180
18,,2180
34,1,2185
53,,2185
4,,2188
83,,2220
70,1,2220
4,1,2232
1,1,2240
6,,2240
98,1,2261
98,,2261
9,,2280
2,1,2280
103,1,4001
95,,4001
807,1,4003
1090,,4003
1343,1,4005
1407,,4005
249,1,4007
335,,4007
120,1,4009
135,,4009
30,1,4011
62,,4011
93,1,4012
157,,4012
56889,1,4013
68331,,4013
1573,1,4015
2364,,4015
695,,4017
468,1,4017
13091,1,4019
13613,,4019
1799,1,4021
2526,,4021
155,1,4023
210,,4023
2111,1,4025
2062,,4025
1081,1,4027
1435,,4027
25,,5001
25,1,5001
17,1,5003
14,,5003
540,1,5005
700,,5005
1968,1,5007
2429,,5007
200,1,5009
294,,5009
6,1,5011
4,,5011
10,1,5013
34,,5013
122,1,5015
133,,5015
10,1,5017
9,,5017
172,1,5019
188,,5019
46,,5021
24,1,5021
201,,5023
105,1,5023
11,1,5025
7,,5025
138,1,5027
127,,5027
34,1,5029
28,,5029
1001,1,5031
903,,5031
257,1,5033
394,,5033
113,1,5035
128,,5035
42,1,5037
43,,5037
3,1,5039
4,,5039
44,,5041
25,1,5041
45,,5043
199,1,5043
1175,,5045
1181,1,5045
129,1,5047
216,,5047
28,1,5049
25,,5049
849,,5051
651,1,5051
117,1,5053
146,,5053
137,1,5055
157,,5055
20,1,5057
40,,5057
35,1,5059
124,,5059
11,1,5061
39,,5061
131,1,5063
161,,5063
2,1,5065
6,,5065
99,,5067
56,1,5067
156,,5069
251,1,5069
167,1,5071
107,,5071
4,1,5075
29,,5075
2,1,5077
3,,5077
6,,5079
5,1,5081
27,,5081
80,1,5083
91,,5083
459,1,5085
662,,5085
25,1,5087
48,,5087
33,,5089
38,1,5089
229,1,5091
369,,5091
177,1,5093
164,,5093
1,1,5095
4,,5095
1,1,5097
1,,5097
3,1,5099
2,,5099
60,1,5101
56,,5101
83,,5103
63,1,5103
43,1,5107
41,,5107
4,1,5109
2,,5109
22,1,5111
29,,5111
92,,5113
21,1,5113
412,1,5115
755,,5115
3615,,5119
4104,1,5119
12,1,5121
17,,5121
21,,5123
42,1,5123
396,1,5125
496,,5125
9,1,5127
15,,5127
10,,5129
27,1,5129
1154,,5131
896,1,5131
124,1,5133
240,,5133
15,1,5135
35,,5135
55,1,5137
81,,5137
299,1,5139
207,,5139
69,1,5141
91,,5141
2717,1,5143
3173,,5143
402,1,5145
400,,5145
36,1,5149
63,,5149
26928,1,6001
20226,,6001
1,1,6003
5,,6003
93,1,6005
133,,6005
2266,,6007
1786,1,6007
425,1,6009
533,,6009
113,1,6011
130,,6011
11699,1,6013
11106,,6013
521,1,6015
304,,6015
2072,1,6017
2235,,6017
5291,1,6019
7210,,6019
69,1,6021
147,,6021
6238,1,6023
6618,,6023
1100,1,6025
1570,,6025
168,1,6027
165,,6027
8200,,6029
6776,1,6029
719,1,6031
698,,6031
1130,1,6033
514,,6033
385,1,6035
420,,6035
170777,1,6037
154938,,6037
743,1,6039
872,,6039
5469,1,6041
3462,,6041
1378,1,6043
1582,,6043
1266,1,6045
1258,,6045
1539,1,6047
1722,,6047
530,1,6049
644,,6049
212,1,6051
160,,6051
3009,1,6053
3587,,6053
1159,,6055
1560,1,6055
1096,1,6057
1196,,6057
38663,1,6059
49915,,6059
3817,1,6061
5087,,6061
37,1,6063
18,,6063
20597,1,6065
27457,,6065
16553,1,6067
15843,,6067
394,,6069
393,1,6069
18945,1,6071
22879,,6071
76226,1,6073
77138,,6073
108234,1,6075
75492,,6075
4750,,6077
3568,1,6077
4702,1,6079
4075,,6079
12010,1,6081
9844,,6081
6912,1,6083
7134,,6083
34383,1,6085
33235,,6085
4864,1,6087
3800,,6087
1332,1,6089
1973,,6089
212,1,6093
252,,6093
2897,1,6095
3031,,6095
5830,1,6097
4858,,6097
3019,1,6099
4201,,6099
944,1,6101
913,,6101
283,1,6103
366,,6103
32,1,6105
18,,6105
1741,1,6107
2481,,6107
208,1,6109
246,,6109
9257,1,6111
10703,,6111
7245,1,6113
6451,,6113
301,1,6115
207,,6115
1983,1,8001
2175,,8001
221,1,8003
133,,8003
6941,1,8005
6183,,8005
117,1,8007
108,,8007
16,1,8011
59,,8011
5924,1,8013
4081,,8013
636,,8014
878,1,8014
129,1,8015
127,,8015
7,1,8019
8,,8019
9,1,8021
5,,8021
50,1,8027
26,,8027
235,1,8029
165,,8029
22005,1,8031
18615,,8031
2377,1,8035
3057,,8035
682,,8037
682,1,8037
29,1,8039
77,,8039
6328,1,8041
7315,,8041
35,,8043
30,1,8043
313,1,8045
282,,8045
21,1,8047
20,,8047
88,1,8049
82,,8049
134,1,8051
129,,8051
16,1,8055
22,,8055
5424,1,8059
5146,,8059
34,1,8063
27,,8063
66,1,8065
55,,8065
405,,8067
737,1,8067
3669,1,8069
3183,,8069
37,1,8071
49,,8071
13,1,8073
63,,8073
61,1,8075
89,,8075
1226,1,8077
1290,,8077
49,1,8081
103,,8081
127,1,8083
71,,8083
277,1,8085
337,,8085
232,1,8087
340,,8087
157,1,8089
148,,8089
6,1,8091
8,,8091
18,1,8093
34,,8093
19,1,8095
15,,8095
296,1,8097
304,,8097
91,1,8099
87,,8099
1112,,8101
588,1,8101
2,1,8103
15,1,8105
30,,8105
218,1,8107
249,,8107
27,1,8109
11,,8109
92,,8113
95,1,8113
2,,8115
434,,8117
431,1,8117
116,1,8119
149,,8119
1581,1,8123
1810,,8123
26745,1,9001
18833,,9001
18271,1,9003
12008,,9003
2790,,9005
3970,1,9005
2697,1,9007
1971,,9007
21708,1,9009
13341,,9009
4971,1,9011
3396,,9011
3104,1,9013
2676,,9013
1818,1,9015
1447,,9015
756,1,10001
1152,,10001
6894,1,10003
6880,,10003
1368,1,10005
1952,,10005
6370,1,12001
6119,,12001
47,1,12003
93,,12003
1325,1,12005
1946,,12005
83,1,12007
84,,12007
6203,1,12009
8714,,12009
13534,1,12011
20078,,12011
180,1,12013
177,,12013
1024,1,12015
1533,,12015
1063,1,12017
1954,,12017
1413,,12019
869,1,12019
3042,1,12021
5121,,12021
184,1,12023
324,,12023
70,1,12027
136,,12027
22,1,12029
54,,12029
5836,1,12031
8102,,12031
2628,1,12033
3674,,12033
986,1,12035
1745,,12035
71,1,12037
70,,12037
108,,12039
114,1,12039
19,1,12041
17,,12041
8,1,12043
1,,12043
64,1,12045
66,,12045
71,1,12047
110,,12047
70,1,12049
190,,12049
106,1,12051
178,,12051
2496,,12053
1418,1,12053
358,1,12055
540,,12055
16474,1,12057
20575,,12057
38,1,12059
36,,12059
874,1,12061
1466,,12061
72,1,12063
146,,12063
12,1,12065
15,,12065
1,1,12067
1,,12067
5286,,12069
3165,1,12069
6967,1,12071
10312,,12071
4101,,12073
4724,1,12073
122,,12075
52,1,12075
2,1,12077
2,,12077
20,1,12079
29,,12079
3453,1,12081
5047,,12081
2057,1,12083
3591,,12083
1732,,12085
917,1,12085
35448,1,12086
45930,,12086
1075,,12087
747,1,12087
310,1,12089
480,,12089
1911,1,12091
3404,,12091
46,1,12093
112,,12093
22365,1,12095
27512,,12095
3034,1,12097
4570,,12097
10493,1,12099
18726,,12099
4683,1,12101
7271,,12101
12282,1,12103
16829,,12103
5273,1,12105
8223,,12105
211,,12107
137,1,12107
2616,1,12109
3364,,12109
6733,,12111
4237,1,12111
2133,1,12113
3404,,12113
9405,,12115
6808,1,12115
6044,1,12117
9267,,12117
1221,1,12119
2009,,12119
224,1,12121
336,,12121
